"","Type.of.feeding.interaction","Life.stage","Location","Intercept","Slope.Regression","R.Squared","F-statistic","P-value"
"1","predacious/piscivorous","adult","Apalachicola Bay, Florida","2.05206","0.6219","0.38428","34.95099","2.11324894527804e-07"
"2","predacious/piscivorous","adult","Crooked Island Sound, Florida","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"3","predacious/piscivorous","adult","Gulf of Alaska","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"4","predacious/piscivorous","adult","Jeffreys Ledge, Gulf of Maine, New England","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"5","predacious/piscivorous","adult","Stellwagen Bank, Gulf of Maine, New England","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"6","predacious/piscivorous","adult","Cape Cod Bay, Gulf of Maine, New England","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"7","predacious/piscivorous","adult","Great Channel South, Gulf of Maine, New England","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"8","predacious/piscivorous","adult","South of Marthas Vineyard, New England","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"9","predacious/piscivorous","adult","Gulf of Maine, New England","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"10","predacious/piscivorous","adult","Andaman Sea (West of South Thailand)","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"11","predacious/piscivorous","adult","Mid Atlantic","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"12","predacious/piscivorous","adult","NE North Sea and Skaggerak","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"13","predacious/piscivorous","adult","W Greenland","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"14","predacious/piscivorous","adult","French Polynesian EEZ","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"15","predacious/piscivorous","adult","Catalan Sea","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"16","predacious/piscivorous","adult","Western North Pacific","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"17","predacious/piscivorous","adult","Atlantic Ocean","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"18","predacious/piscivorous","adult","Off the Bay of Biscay","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"19","predacious/piscivorous","adult","Great South Bay, Long Island, New York","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"20","predacious/piscivorous","adult","Strait of Georgia","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"21","predacious/piscivorous","adult","Europe, Celtic Sea ecosystem","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"22","predacious/piscivorous","adult","Antarctic Peninsula","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"23","predacious/piscivorous","adult","Oxwich Bay, Wales","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"24","predacious/piscivorous","adult","Greenland","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"25","predacious/piscivorous","adult","Eastern Mediterranean","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"26","predacious/piscivorous","juvenile","Apalachicola Bay, Florida","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"27","predacious/piscivorous","juvenile","Crooked Island Sound, Florida","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"28","predacious/piscivorous","juvenile","Gulf of Alaska","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"29","predacious/piscivorous","juvenile","Jeffreys Ledge, Gulf of Maine, New England","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
"30","predacious/piscivorous","juvenile","Stellwagen Bank, Gulf of Maine, New England","2.08238","0.50645","0.29371","42.00136","3.37813443070404e-09"
